Country,ISO,Year,Population,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
Afghanistan,AFG,2023,41454761.0,0.0,0.0,166.0,100.0,166.0
Afghanistan,AFG,2024,42647492.0,0.0,0.0,0.0,0.0,1197.0
Albania,ALB,2022,2777689.0,352.0,100.0,0.0,0.0,352.0
Albania,ALB,2023,2745972.0,363.0,100.0,0.0,0.0,363.0
Austria,AUT,2022,9041851.0,419.0,100.0,0.0,0.0,419.0
Austria,AUT,2023,9131761.0,486.0,100.0,0.0,0.0,486.0
Bangladesh,BGD,2024,173562364.0,10.0,100.0,0.0,0.0,10.0
Belgium,BEL,2020,11538604.0,1687.0,100.0,0.0,0.0,1687.0
Belgium,BEL,2022,11680210.0,434.0,100.0,0.0,0.0,434.0
Belgium,BEL,2023,11787423.0,324.0,100.0,0.0,0.0,324.0
Bulgaria,BGR,2022,6465097.0,1277.0,100.0,0.0,0.0,1277.0
Bulgaria,BGR,2023,6446596.0,1670.0,100.0,0.0,0.0,1670.0
Cambodia,KHM,2024,17638801.0,0.0,,0.0,,0.0
Canada,CAN,2021,38239864.0,815.0,100.0,0.0,0.0,815.0
Canada,CAN,2023,40083484.0,0.0,0.0,0.0,0.0,2.0
Croatia,HRV,2022,3855641.0,731.0,100.0,0.0,0.0,731.0
Croatia,HRV,2023,3859686.0,561.0,100.0,0.0,0.0,561.0
Cyprus,CYP,2022,1331370.0,101.0,100.0,0.0,0.0,101.0
Cyprus,CYP,2023,1344976.0,151.0,100.0,0.0,0.0,151.0
Czechia,CZE,2022,10672118.0,279.0,100.0,0.0,0.0,279.0
Czechia,CZE,2023,10864042.0,361.0,100.0,0.0,0.0,361.0
Denmark,DNK,2022,5903037.0,252.0,100.0,0.0,0.0,252.0
Denmark,DNK,2023,5946952.0,189.0,100.0,0.0,0.0,189.0
Estonia,EST,2022,1348840.0,167.0,100.0,0.0,0.0,167.0
Estonia,EST,2023,1370286.0,103.0,100.0,0.0,0.0,103.0
Finland,FIN,2022,5556106.0,225.0,100.0,0.0,0.0,225.0
Finland,FIN,2023,5583911.0,138.0,100.0,0.0,0.0,138.0
France,FRA,2020,67601110.0,1924.0,100.0,0.0,0.0,1924.0
France,FRA,2021,67842811.0,0.0,,0.0,,0.0
France,FRA,2022,68065015.0,4807.0,100.0,0.0,0.0,4807.0
France,FRA,2023,68287487.0,2734.0,100.0,0.0,0.0,2734.0
Germany,DEU,2022,83797985.0,8173.0,100.0,0.0,0.0,8173.0
Germany,DEU,2023,83901923.0,6376.0,100.0,0.0,0.0,6376.0
Greece,GRC,2022,10436882.0,3092.0,100.0,0.0,0.0,3092.0
Greece,GRC,2023,10405588.0,4339.0,100.0,0.0,0.0,4339.0
Hungary,HUN,2022,9605074.0,513.0,100.0,0.0,0.0,513.0
Hungary,HUN,2023,9592186.0,294.0,100.0,0.0,0.0,294.0
Iceland,ISL,2023,393349.0,0.0,,0.0,,0.0
India,IND,2022,1425423212.0,25.0,100.0,0.0,0.0,25.0
India,IND,2023,1438069596.0,190.0,100.0,0.0,0.0,190.0
India,IND,2024,1450935791.0,733.0,100.0,0.0,0.0,733.0
Ireland,IRL,2022,5212836.0,26.0,100.0,0.0,0.0,26.0
Ireland,IRL,2023,5307600.0,60.0,100.0,0.0,0.0,60.0
Italy,ITA,2022,59013667.0,18010.0,100.0,0.0,0.0,18010.0
Italy,ITA,2023,58993475.0,12743.0,100.0,0.0,0.0,12743.0
Japan,JPN,2022,125124989.0,80.0,100.0,0.0,0.0,80.0
Japan,JPN,2024,123975371.0,123.0,100.0,0.0,0.0,123.0
Jordan,JOR,2023,11439213.0,0.0,,0.0,,0.0
Kyrgyzstan,KGZ,2022,6975220.0,0.0,,0.0,,0.0
Lao People's Democratic Republic,LAO,2024,7769819.0,0.0,,0.0,,0.0
Latvia,LVA,2022,1879383.0,105.0,100.0,0.0,0.0,105.0
Latvia,LVA,2023,1877445.0,58.0,100.0,0.0,0.0,58.0
Lebanon,LBN,2023,5773493.0,0.0,,0.0,,0.0
Lebanon,LBN,2024,5805962.0,0.0,,0.0,,0.0
Liechtenstein,LIE,2023,39850.0,1.0,100.0,0.0,0.0,1.0
Lithuania,LTU,2022,2831639.0,381.0,100.0,0.0,0.0,381.0
Lithuania,LTU,2023,2871585.0,247.0,100.0,0.0,0.0,247.0
Luxembourg,LUX,2022,653103.0,44.0,100.0,0.0,0.0,44.0
Luxembourg,LUX,2023,666430.0,33.0,100.0,0.0,0.0,33.0
Malta,MLT,2022,531113.0,76.0,100.0,0.0,0.0,76.0
Malta,MLT,2023,552747.0,70.0,100.0,0.0,0.0,70.0
Mexico,MEX,2024,130861007.0,155.0,100.0,0.0,0.0,155.0
Mongolia,MNG,2022,3433748.0,0.0,,0.0,,0.0
Mongolia,MNG,2023,3481145.0,0.0,0.0,2.0,100.0,2.0
Montenegro,MNE,2022,623591.0,50.0,100.0,0.0,0.0,50.0
Montenegro,MNE,2023,623529.0,41.0,100.0,0.0,0.0,41.0
Morocco,MAR,2024,38081173.0,21.0,100.0,0.0,0.0,21.0
Myanmar,MMR,2024,54500091.0,50.0,100.0,0.0,0.0,50.0
Netherlands (Kingdom of the),NLD,2020,17441500.0,400.0,100.0,0.0,0.0,400.0
Netherlands (Kingdom of the),NLD,2022,17700982.0,469.0,100.0,0.0,0.0,469.0
Netherlands (Kingdom of the),NLD,2023,17877117.0,368.0,100.0,0.0,0.0,368.0
Norway,NOR,2022,5457127.0,30.0,100.0,0.0,0.0,30.0
Norway,NOR,2023,5519594.0,29.0,100.0,0.0,0.0,29.0
Pakistan,PAK,2022,243700667.0,0.0,,0.0,,0.0
Pakistan,PAK,2023,247504495.0,22.0,100.0,0.0,0.0,22.0
Pakistan,PAK,2024,251269164.0,568.0,100.0,0.0,0.0,568.0
Philippines,PHL,2024,115843670.0,0.0,,0.0,,0.0
Poland,POL,2022,36821749.0,763.0,100.0,0.0,0.0,763.0
Poland,POL,2023,36687353.0,616.0,100.0,0.0,0.0,616.0
Portugal,PRT,2022,10434332.0,2212.0,100.0,0.0,0.0,2212.0
Portugal,PRT,2023,10578174.0,1432.0,100.0,0.0,0.0,1432.0
Republic of Korea,KOR,2022,51672569.0,2.0,100.0,0.0,0.0,2.0
Republic of Korea,KOR,2024,51751065.0,22.0,100.0,0.0,0.0,22.0
Romania,ROU,2022,19048502.0,2455.0,100.0,0.0,0.0,2455.0
Romania,ROU,2023,19059479.0,2585.0,100.0,0.0,0.0,2585.0
Saudi Arabia,SAU,2024,35300280.0,1301.0,100.0,0.0,0.0,1301.0
Serbia,SRB,2022,6664449.0,574.0,100.0,0.0,0.0,574.0
Serbia,SRB,2023,6623183.0,464.0,100.0,0.0,0.0,464.0
Slovakia,SVK,2022,5431752.0,365.0,100.0,0.0,0.0,365.0
Slovakia,SVK,2023,5426740.0,247.0,100.0,0.0,0.0,247.0
Slovenia,SVN,2022,2112076.0,154.0,100.0,0.0,0.0,154.0
Slovenia,SVN,2023,2120461.0,95.0,100.0,0.0,0.0,95.0
Spain,ESP,2022,47786102.0,11324.0,100.0,0.0,0.0,11324.0
Spain,ESP,2023,48347910.0,8352.0,100.0,0.0,0.0,8352.0
State of Palestine,PSE,2020,4803269.0,0.0,0.0,3.0,100.0,3.0
State of Palestine,PSE,2022,5043612.0,0.0,0.0,0.0,0.0,4.0
Sweden,SWE,2022,10486941.0,40.0,100.0,0.0,0.0,40.0
Sweden,SWE,2023,10536632.0,13.0,100.0,0.0,0.0,13.0
Switzerland,CHE,2022,8777088.0,302.0,100.0,0.0,0.0,302.0
Switzerland,CHE,2023,8888093.0,294.0,100.0,0.0,0.0,294.0
Thailand,THA,2024,71668011.0,61.0,100.0,0.0,0.0,61.0
United Kingdom of Great Britain and Northern Ireland,GBR,2020,66744000.0,2556.0,100.0,0.0,0.0,2556.0
United Kingdom of Great Britain and Northern Ireland,GBR,2022,67604000.0,3469.0,100.0,0.0,0.0,3469.0
United Kingdom of Great Britain and Northern Ireland,GBR,2023,68492000.0,1851.0,100.0,0.0,0.0,1851.0
United States of America,USA,2021,332099760.0,229.0,100.0,0.0,0.0,229.0
United States of America,USA,2023,336806231.0,14.0,58.333333333333336,0.0,0.0,24.0
United States of America,USA,2024,340110988.0,1006.0,100.0,0.0,0.0,1006.0
Viet Nam,VNM,2024,100987686.0,0.0,,0.0,,0.0
