,Start Year,End Year,Disaster Subtype,Country,Total Deaths,Year,Population
0,2020,2020,Cold wave,State of Palestine,3.0,2020,
1,2020,2020,Heat wave,Belgium,1687.0,2020,11538604.0
2,2020,2020,Heat wave,France,1924.0,2020,67601110.0
3,2020,2020,Heat wave,United Kingdom of Great Britain and Northern Ireland,2556.0,2020,
4,2020,2020,Heat wave,Netherlands (Kingdom of the),400.0,2020,
5,2021,2021,Heat wave,Canada,815.0,2021,38239864.0
6,2021,2021,Heat wave,United States of America,229.0,2021,
7,2021,2021,Cold wave,France,,2021,67842811.0
8,2022,2022,Severe winter conditions,State of Palestine,4.0,2022,
9,2022,2022,Heat wave,India,25.0,2022,1425423212.0
10,2022,2022,Heat wave,Pakistan,,2022,243700667.0
11,2022,2022,Heat wave,Japan,80.0,2022,125124989.0
12,2022,2022,Heat wave,Republic of Korea,2.0,2022,
13,2022,2022,Heat wave,Albania,352.0,2022,2777689.0
14,2022,2022,Heat wave,Austria,419.0,2022,9041851.0
15,2022,2022,Heat wave,Belgium,434.0,2022,11680210.0
16,2022,2022,Heat wave,Bulgaria,1277.0,2022,6465097.0
17,2022,2022,Heat wave,Switzerland,302.0,2022,8777088.0
18,2022,2022,Heat wave,Cyprus,101.0,2022,1331370.0
19,2022,2022,Heat wave,Czechia,279.0,2022,10672118.0
20,2022,2022,Heat wave,Germany,8173.0,2022,83797985.0
21,2022,2022,Heat wave,Denmark,252.0,2022,5903037.0
22,2022,2022,Heat wave,Spain,11324.0,2022,47786102.0
23,2022,2022,Heat wave,Estonia,167.0,2022,1348840.0
24,2022,2022,Heat wave,Finland,225.0,2022,5556106.0
25,2022,2022,Heat wave,France,4807.0,2022,68065015.0
26,2022,2022,Heat wave,United Kingdom of Great Britain and Northern Ireland,3469.0,2022,
27,2022,2022,Heat wave,Greece,3092.0,2022,10436882.0
28,2022,2022,Heat wave,Croatia,731.0,2022,3855641.0
29,2022,2022,Heat wave,Hungary,513.0,2022,9605074.0
30,2022,2022,Heat wave,Ireland,26.0,2022,5212836.0
31,2022,2022,Heat wave,Italy,18010.0,2022,59013667.0
32,2022,2022,Heat wave,Lithuania,381.0,2022,2831639.0
33,2022,2022,Heat wave,Luxembourg,44.0,2022,653103.0
34,2022,2022,Heat wave,Latvia,105.0,2022,1879383.0
35,2022,2022,Heat wave,Malta,76.0,2022,531113.0
36,2022,2022,Heat wave,Montenegro,50.0,2022,623591.0
37,2022,2022,Heat wave,Netherlands (Kingdom of the),469.0,2022,
38,2022,2022,Heat wave,Norway,30.0,2022,5457127.0
39,2022,2022,Heat wave,Poland,763.0,2022,36821749.0
40,2022,2022,Heat wave,Portugal,2212.0,2022,10434332.0
41,2022,2022,Heat wave,Romania,2455.0,2022,19048502.0
42,2022,2022,Heat wave,Serbia,574.0,2022,6664449.0
43,2022,2022,Heat wave,Slovakia,365.0,2022,
44,2022,2022,Heat wave,Slovenia,154.0,2022,2112076.0
45,2022,2022,Heat wave,Sweden,40.0,2022,10486941.0
46,2022,2022,Heat wave,Kyrgyzstan,,2022,
47,2022,2022,Cold wave,Mongolia,,2022,3433748.0
48,2023,2023,Cold wave,Afghanistan,166.0,2023,41454761.0
49,2023,2023,Severe winter conditions,Canada,2.0,2023,40083484.0
50,2023,2023,Severe winter conditions,United States of America,10.0,2023,
51,2023,2023,Cold wave,Lebanon,,2023,5773493.0
52,2023,2023,Heat wave,India,11.0,2023,1438069596.0
53,2023,2023,Cold wave,Mongolia,2.0,2023,3481145.0
54,2023,2023,Heat wave,India,179.0,2023,1438069596.0
55,2023,2023,Heat wave,Pakistan,22.0,2023,247504495.0
56,2023,2023,Heat wave,United States of America,14.0,2023,
57,2023,2023,Heat wave,Albania,363.0,2023,2745972.0
58,2023,2023,Heat wave,Austria,486.0,2023,9131761.0
59,2023,2023,Heat wave,Belgium,324.0,2023,11787423.0
60,2023,2023,Heat wave,Bulgaria,1670.0,2023,6446596.0
61,2023,2023,Heat wave,Switzerland,294.0,2023,8888093.0
62,2023,2023,Heat wave,Cyprus,151.0,2023,1344976.0
63,2023,2023,Heat wave,Czechia,361.0,2023,10864042.0
64,2023,2023,Heat wave,Germany,6376.0,2023,83901923.0
65,2023,2023,Heat wave,Denmark,189.0,2023,5946952.0
66,2023,2023,Heat wave,Spain,8352.0,2023,48347910.0
67,2023,2023,Heat wave,Estonia,103.0,2023,1370286.0
68,2023,2023,Heat wave,Finland,138.0,2023,5583911.0
69,2023,2023,Heat wave,France,2734.0,2023,68287487.0
70,2023,2023,Heat wave,United Kingdom of Great Britain and Northern Ireland,1851.0,2023,
71,2023,2023,Heat wave,Greece,4339.0,2023,10405588.0
72,2023,2023,Heat wave,Croatia,561.0,2023,3859686.0
73,2023,2023,Heat wave,Hungary,294.0,2023,9592186.0
74,2023,2023,Heat wave,Ireland,60.0,2023,5307600.0
75,2023,2023,Heat wave,Iceland,,2023,393349.0
76,2023,2023,Heat wave,Italy,12743.0,2023,58993475.0
77,2023,2023,Heat wave,Liechtenstein,1.0,2023,39850.0
78,2023,2023,Heat wave,Lithuania,247.0,2023,2871585.0
79,2023,2023,Heat wave,Luxembourg,33.0,2023,666430.0
80,2023,2023,Heat wave,Latvia,58.0,2023,1877445.0
81,2023,2023,Heat wave,Malta,70.0,2023,552747.0
82,2023,2023,Heat wave,Montenegro,41.0,2023,623529.0
83,2023,2023,Heat wave,Netherlands (Kingdom of the),368.0,2023,
84,2023,2023,Heat wave,Norway,29.0,2023,5519594.0
85,2023,2023,Heat wave,Poland,616.0,2023,36687353.0
86,2023,2023,Heat wave,Portugal,1432.0,2023,10578174.0
87,2023,2023,Heat wave,Romania,2585.0,2023,19059479.0
88,2023,2023,Heat wave,Serbia,464.0,2023,6623183.0
89,2023,2023,Heat wave,Slovakia,247.0,2023,
90,2023,2023,Heat wave,Slovenia,95.0,2023,2120461.0
91,2023,2023,Heat wave,Sweden,13.0,2023,10536632.0
92,2023,2023,Cold wave,Jordan,,2023,11439213.0
93,2024,2024,Cold wave,Lebanon,,2024,5805962.0
94,2024,2024,Severe winter conditions,Afghanistan,1197.0,2024,42647492.0
95,2024,2024,Heat wave,Bangladesh,10.0,2024,173562364.0
96,2024,2024,Heat wave,India,733.0,2024,1450935791.0
97,2024,2024,Heat wave,Pakistan,,2024,251269164.0
98,2024,2024,Heat wave,Cambodia,,2024,17638801.0
99,2024,2024,Heat wave,Lao People's Democratic Republic,,2024,
100,2024,2024,Heat wave,Myanmar,50.0,2024,54500091.0
101,2024,2024,Heat wave,Philippines,,2024,115843670.0
102,2024,2024,Heat wave,Thailand,61.0,2024,71668011.0
103,2024,2024,Heat wave,Viet Nam,,2024,100987686.0
104,2024,2024,Heat wave,Mexico,155.0,2024,130861007.0
105,2024,2024,Heat wave,Saudi Arabia,1301.0,2024,35300280.0
106,2024,2024,Heat wave,Pakistan,568.0,2024,251269164.0
107,2024,2024,Heat wave,Morocco,21.0,2024,38081173.0
108,2024,2024,Heat wave,United States of America,1006.0,2024,
109,2024,2024,Heat wave,Japan,123.0,2024,123975371.0
110,2024,2024,Heat wave,Republic of Korea,22.0,2024,
